Date,QB1,QB2,RB1,RB2,WR1,WR2,WR3,TE,UTIL,Total
2014-11-28,21.6,5.2,8.2,11.8,23.8,10.7,11.7,5.1,16.3,114.4
2014-11-28,21.6,11.6,5.0,38.8,32.2,23.8,11.7,33.9,3.5,182.1
2014-11-29,36.8,42.2,2.4,6.7,3.6,7.2,18.8,3.3,5.1,126.1
2014-11-29,19.5,7.1,9.9,2.9,46.2,5.0,6.5,21.2,7.4,125.7
2014-11-29,6.0,16.5,12.5,19.5,14.5,3.1,6.3,16.7,5.4,100.5
2014-11-29,31.6,28.3,2.4,19.8,8.2,35.6,32.6,6.4,33.0,197.9
2014-11-29,21.3,28.3,35.0,9.8,14.5,8.8,12.7,8.5,10.4,149.3
2014-11-29,37.1,21.2,2.9,16.1,16.4,7.6,8.2,3.0,4.3,116.8
2014-11-29,37.2,36.1,8.5,27.8,8.1,5.6,3.2,14.0,4.6,145.1
2014-11-29,40.3,14.2,4.8,4.0,32.1,6.9,7.3,25.6,22.1,157.3
2014-11-29,9.9,21.3,32.2,22.2,13.2,4.2,7.3,18.5,4.0,132.8
2014-11-29,6.2,34.6,2.4,4.5,7.4,15.9,23.9,3.1,9.6,107.6
2014-12-06,20.8,6.6,10.6,7.9,9.7,15.7,13.0,10.5,6.3,101.1
2014-12-06,25.1,38.7,10.6,10.0,3.5,5.8,8.8,7.1,34.3,143.9
2014-12-06,27.9,26.3,2.6,3.1,3.5,25.9,7.7,4.2,38.7,139.9
2014-12-06,17.8,30.9,5.2,10.0,4.8,11.5,3.5,3.9,2.1,89.7
2014-12-06,6.9,27.9,2.6,19.1,3.7,7.7,4.9,7.1,29.1,109.0
2014-12-06,25.1,20.4,2.6,6.4,25.5,11.7,38.7,4.0,4.6,139.0
2014-12-06,25.1,38.7,16.6,23.3,18.3,13.2,6.7,18.7,3.7,164.3
2014-12-06,20.4,8.0,5.2,5.9,9.7,9.8,26.1,4.2,7.7,97.0
2014-12-06,25.1,23.2,2.5,13.4,11.5,6.9,11.7,3.9,4.4,102.6
2014-12-06,26.3,20.4,10.6,10.5,2.9,13.0,17.3,4.3,8.1,113.4
2015-09-03,20.8,28.7,19.3,13.1,27.1,12.1,28.9,10.0,5.2,165.2
2015-09-03,21.8,9.2,5.1,12.5,4.7,3.1,3.3,4.5,4.0,68.2
2015-09-03,14.2,6.2,6.1,18.1,3.3,4.1,12.1,4.5,3.7,72.3
2015-09-03,14.2,15.6,8.1,27.7,13.1,3.3,3.9,4.0,13.2,103.1
2015-09-03,14.8,18.3,19.3,11.5,26.4,11.0,3.1,2.6,28.9,135.9
2015-09-03,28.0,22.6,12.7,6.2,4.5,25.9,7.0,2.2,3.2,112.3
2015-09-03,5.7,17.3,31.4,23.9,9.2,14.6,2.8,9.9,10.0,124.8
2015-09-03,13.3,17.3,9.4,2.1,13.0,12.1,7.7,13.4,4.9,93.2
2015-09-03,32.0,12.4,13.5,7.7,11.5,4.4,13.9,15.0,9.9,120.3
2015-09-03,22.6,11.1,2.5,25.4,4.2,8.3,3.2,8.7,8.3,94.3
2015-09-04,27.1,11.0,10.2,5.0,31.8,4.1,4.4,3.8,9.7,107.1
2015-09-04,40.6,48.9,19.3,7.1,29.9,4.3,12.3,13.9,17.9,194.2
2015-09-04,48.9,40.6,19.0,7.7,5.9,4.4,3.9,3.8,7.5,141.7
2015-09-04,14.6,11.0,7.2,2.8,6.5,12.6,10.7,9.9,4.1,79.4
2015-09-04,48.9,5.3,10.4,10.8,6.7,4.0,23.2,3.8,12.1,125.2
2015-09-04,40.6,11.0,13.7,12.1,10.7,4.7,6.7,3.8,7.0,110.3
2015-09-04,14.6,7.2,2.8,12.4,4.4,3.9,31.8,3.8,22.4,103.3
2015-09-04,27.1,18.2,17.6,9.0,11.6,4.3,4.7,9.9,9.9,112.3
2015-09-04,11.0,27.1,7.5,5.7,10.7,6.7,34.4,4.8,3.8,111.7
2015-09-04,14.6,7.2,7.1,5.0,3.9,4.7,28.0,4.8,17.0,92.3
2015-09-05,9.0,9.1,12.8,6.3,6.1,27.4,5.4,9.0,8.8,93.9
2015-09-05,22.1,7.9,2.9,4.2,3.8,6.7,5.8,15.0,31.3,99.7
2015-09-05,10.6,12.3,15.9,39.1,19.6,3.4,14.3,8.1,15.0,138.3
2015-09-05,10.8,17.6,5.5,3.0,8.4,8.8,6.3,4.5,19.5,84.4
2015-09-05,8.6,31.2,2.7,28.8,6.0,9.9,12.1,8.8,12.8,120.9
2015-09-05,27.0,14.4,15.0,14.2,3.5,9.1,13.5,7.1,6.2,110.0
2015-09-05,17.0,26.3,25.8,31.3,9.3,3.2,5.0,2.2,24.3,144.4
2015-09-05,14.4,11.0,2.3,39.1,21.8,5.2,9.0,8.0,2.4,113.2
2015-09-05,10.6,21.7,10.7,2.7,14.4,7.7,19.5,18.5,9.3,115.1
2015-09-05,20.4,18.9,38.9,25.8,4.8,6.2,11.1,4.5,4.5,135.1
2015-09-12,7.2,40.3,22.1,3.7,15.7,3.7,14.1,2.7,7.9,117.4
2015-09-12,5.7,22.5,23.0,11.2,2.9,2.9,14.4,7.4,3.0,93.0
