Date,P,C,1B,2B,SS,3B,OF1,OF2,OF3,Total
2013-09-24,13.0,13.5,9.0,5.0,6.0,8.5,21.0,5.0,20.5,101.5
2013-09-24,11.5,16.0,14.5,8.5,5.5,27.0,9.0,8.5,8.5,109.0
2013-09-25,15.5,9.0,17.0,12.0,8.5,15.0,6.0,39.0,11.5,133.5
2013-09-25,5.0,24.0,11.5,12.0,3.0,15.0,6.0,5.5,12.0,94.0
2013-09-25,7.5,30.0,9.0,9.5,21.0,9.0,15.0,10.0,6.0,117.0
2013-09-25,8.0,9.0,29.5,10.0,7.5,56.0,12.0,15.0,15.0,162.0
2013-09-25,6.0,30.0,8.5,11.0,9.0,56.0,17.0,15.0,5.5,158.0
2013-09-25,11.5,3.0,5.5,11.0,8.5,12.0,8.5,8.5,21.0,89.5
2013-09-25,5.0,18.0,6.0,16.5,7.5,53.5,6.0,21.0,6.0,139.5
2013-09-25,7.0,24.0,8.5,12.0,5.5,6.0,32.5,25.5,6.0,127.0
2013-09-25,4.0,41.5,5.0,33.0,9.0,29.5,6.0,21.0,13.0,162.0
2013-09-25,5.0,18.0,5.0,12.0,6.0,12.0,5.5,6.0,5.5,75.0
2013-09-26,11.5,5.5,6.0,5.0,12.0,8.5,6.0,6.0,15.0,75.5
2013-09-26,15.5,24.0,20.5,5.0,8.5,5.5,24.0,21.0,6.0,130.0
2013-09-26,42.0,5.5,6.0,9.0,8.5,10.5,26.5,19.0,23.0,150.0
2013-09-26,34.0,9.0,10.0,22.5,9.0,8.5,27.0,21.0,45.0,186.0
2013-09-26,25.5,6.0,6.0,23.5,5.5,5.5,15.0,9.0,21.0,117.0
2013-09-26,22.5,33.0,11.5,12.0,9.0,9.0,45.0,15.0,24.0,181.0
2013-09-26,9.0,9.0,6.0,22.5,8.5,8.5,17.5,11.5,5.0,97.5
2013-09-26,4.0,13.5,8.5,15.0,5.5,14.5,9.0,6.0,6.0,82.0
2013-09-26,6.0,9.0,19.5,12.0,8.5,5.5,8.5,10.0,15.0,94.0
2013-09-26,6.0,6.0,19.5,9.0,5.5,8.5,17.5,8.5,19.0,99.5
2013-09-27,8.0,26.5,12.0,18.0,6.0,16.5,36.0,26.5,14.5,164.0
2013-09-27,18.0,32.5,5.0,6.0,6.0,20.5,8.5,9.0,9.0,114.5
2013-09-27,8.0,12.0,12.0,11.5,26.5,5.0,9.5,6.0,9.0,99.5
2013-09-27,6.0,21.0,12.0,11.5,11.0,16.5,14.0,9.0,9.5,110.5
2013-09-27,41.5,12.0,8.0,12.0,26.5,24.0,33.0,20.0,36.0,213.0
2013-09-27,5.0,32.5,5.0,15.0,5.5,27.0,10.0,6.0,9.0,115.0
2013-09-27,22.5,4.5,30.0,6.0,30.0,27.0,33.0,11.0,32.5,196.5
2013-09-27,15.0,26.5,30.0,5.5,8.5,34.5,16.0,23.5,14.5,174.0
2013-09-27,9.0,12.0,12.0,9.0,11.0,18.0,9.0,8.0,21.0,109.0
2013-09-27,13.5,26.5,9.0,18.0,16.5,24.0,13.0,11.0,8.5,140.0
2013-09-28,4.0,8.5,24.0,9.0,27.0,6.0,6.0,14.5,15.0,114.0
2013-09-28,5.0,12.0,6.0,8.5,51.0,6.0,26.0,11.5,5.5,131.5
2013-09-28,4.5,18.0,6.0,12.0,51.0,6.0,14.5,5.5,15.0,132.5
2013-09-28,4.0,14.0,6.0,42.0,8.5,12.0,10.0,29.0,13.5,139.0
2013-09-28,10.0,5.5,8.0,23.5,6.0,11.5,37.0,5.5,15.0,122.0
2013-09-28,10.0,6.0,18.0,8.5,6.0,15.0,15.0,13.0,13.5,105.0
2013-09-28,6.0,8.5,6.0,9.0,8.5,24.0,5.5,8.5,5.0,81.0
2013-09-28,9.5,8.5,22.5,15.0,5.5,6.0,5.5,11.5,6.0,90.0
2013-09-28,9.0,5.5,22.5,5.5,14.5,5.0,5.5,9.0,24.0,100.5
2013-09-28,37.0,17.5,6.0,8.5,5.5,12.0,12.0,21.0,6.0,125.5
2013-09-29,19.5,6.0,30.0,9.5,37.5,8.5,6.0,8.5,5.5,131.0
2013-09-29,11.0,6.0,8.5,5.5,18.0,5.0,15.0,17.5,5.0,91.5
2013-09-29,8.0,27.0,8.0,12.0,37.5,26.5,12.0,12.0,8.5,151.5
